"bias_type","k_scenario","true_effect","true_tau","n_sims","naive_bias","naive_rmse","naive_mae","tf_bias","tf_rmse","tf_mae","tf_convergence","pp_bias","pp_rmse","pp_mae","pp_convergence","pp_pct_peese","pp_pct_negative_intercept","copas_bias","copas_rmse","copas_mae","copas_convergence","naive_tau2_bias","tf_tau2_bias","pp_tau2_bias","copas_tau2_bias","naive_pi_width","tf_pi_width","pp_pi_width","copas_pi_width","naive_coverage","naive_coverage_se","tf_coverage","tf_coverage_se","pp_coverage","pp_coverage_se","copas_coverage","copas_coverage_se"
"continuous",50,0.3,0.5,100,0.0802519954434393,0.121755190646042,0.0995508930310226,0.00976920711050472,0.101557966981048,0.0829760313855712,1,-1.40014095322702,1.72899699731806,1.54133947909817,1,0.27,0.86,-0.0694355880473028,0.16860686947471,0.132550016953344,1,0.0478867764701176,0.0949788875206515,0.029344085397761,0.0431359112210029,2.2333434588361,2.38828251262413,5.57761202482879,2.27994822530221,1,0,1,0,0.86,0.0346987031457949,1,0
"continuous",50,0.5,0.1,100,0.0423406327596043,0.0542855862622936,0.0465048393160801,0.0350221792322812,0.0621947657997989,0.0510564860648726,1,-0.244704649071114,0.577294073666199,0.449605707549103,1,0.06,0.28,0.0241682941737499,0.0614875495978528,0.0505020381732607,1,-0.00338872945783527,0.00203100498660425,-0.00341470225505044,-0.00160501366458656,0.31786079803349,0.406851624222439,2.28283719011343,0.394200453049573,0.92,0.0271293199325011,0.91,0.0286181760425084,0.93,0.0255147016443461,0.94,0.0237486841740758
"continuous",50,0.5,0.3,100,0.0763031358342066,0.090749081680663,0.078794039866635,0.0279541884594029,0.0777816789398163,0.0648917551881231,1,-0.904296203539415,1.1165378663145,0.985195055273027,1,0.12,0.74,0.0210468914079229,0.096292815155066,0.0757136566689406,1,-0.0128724467512507,0.00753183834328661,-0.0188100621157381,-0.00307665849346614,1.12496067897343,1.24882670796309,3.46073039877293,1.23147177068669,1,0,1,0,0.8,0.04,1,0
"continuous",50,0.5,0.5,100,0.0918446101946147,0.128243258847778,0.110501665997948,0.00319515130464522,0.11971500131496,0.0974839496650454,1,-1.68450728492921,1.83350885132804,1.74015352712278,1,0.47,0.94,-0.0431060281408158,0.177865333479761,0.139506416196021,1,0.00369577824864204,0.0579690745619037,-0.033548473242386,0.0278008748240585,2.04632476549708,2.23818477350756,4.31205412802332,2.20668771005341,1,0,1,0,0.59,0.0491833305094318,1,0
"continuous",50,0.8,0.1,100,0.0162739411618174,0.0396400914283243,0.0323108575155295,0.0103850279284629,0.0521966861764533,0.0426228860056032,1,-0.304992025460123,0.586251849472963,0.454912717839153,1,0.2,0.18,0.0103366372428859,0.042200180503028,0.0342433743758706,0.99,-0.00301012537341334,0.00185229831836434,-0.00337716878722074,-0.00144435205572983,0.322711169683261,0.410445218487686,1.99603058708748,0.382766444822682,0.95,0.0217944947177034,0.97,0.017058722109232,0.9,0.03,0.61,0.0490207130000197
"continuous",50,0.8,0.3,100,0.0419849766206029,0.0619368124982509,0.050648607351508,0.00783668358990304,0.0686885683245815,0.0576201811636114,1,-1.33573546711558,1.4425848854923,1.34363137555186,1,0.24,0.86,0.0160639722308763,0.0777625218977881,0.0630458601592384,1,-0.0140822544198833,0.00105317607644829,-0.0283907627307407,-0.00434012343157812,1.11189868029058,1.20738413589191,2.82502339040123,1.19749222949176,1,0,1,0,0.44,0.0496386945839634,0.98,0.014
"continuous",50,0.8,0.5,100,0.0677596656171781,0.100297484829127,0.0801903359886951,-0.00350377844318301,0.118532851148444,0.0974905621819304,1,-1.83121905214974,1.87794924124959,1.83121905214974,1,0.75,1,-0.0172424877655429,0.144333635508233,0.114978852126035,1,-0.0252832423671467,0.0193840583386739,-0.0887296589653292,0.0106116956712818,1.92259851394595,2.08606193512465,2.91550496043733,2.11721494429547,1,0,1,0,0.13,0.0336303434416005,1,0
"none",10,0.3,0.1,100,-0.00383477448131758,0.0716952803717541,0.0584040023593914,-0.00581735118926601,0.0807844082238227,0.0664633877436381,1,-0.145631840565509,1.22639678583056,0.981743027230494,1,0.06,0.41,0.0162333454521385,0.119636838235598,0.093567344876428,0.99,0.00434781598513631,0.00738048583977475,0.00427085417390053,0.00169310518424593,0.578581560762618,0.614954914136272,5.84837974953103,0.708576075429417,0.99,0.0099498743710662,0.98,0.014,0.99,0.0099498743710662,0.96,0.0196946385566932
"none",10,0.3,0.3,100,0.000357774306877998,0.118858618694393,0.0933791787973687,-0.00625007856281586,0.126864628493661,0.100573323897893,1,-0.816465313457573,1.86506169419886,1.52983510125407,1,0.07,0.61,0.00318007317734078,0.204248188416402,0.165779140193683,1,0.0155807058272373,0.0222058428743246,0.0165643222012762,-0.000709359361499744,1.50278903305668,1.5310155962524,9.16499671408349,1.54353936914035,1,0,1,0,0.94,0.0237486841740758,0.99,0.0099498743710662
"none",10,0.3,0.5,100,-0.0108930933573581,0.18233957943508,0.14968664782723,-0.0309264874476005,0.190956345849666,0.161870702838515,1,-1.06405184504346,2.31190206766905,1.87448805578557,1,0.12,0.67,-0.0111741104996842,0.297429425746404,0.244252851436211,1,-0.0265489904810687,-0.0146312932615339,-0.0418152023155406,-0.0592827886210381,2.21162925329667,2.25412121028142,11.4396381782691,2.2297137413494,1,0,1,0,0.94,0.0237486841740758,0.98,0.014
