"true_effect","true_tau","k_total","k_published","k_unpublished","naive_effect","naive_tau2","naive_pi_lower","naive_pi_upper","naive_pi_width","true_ma_effect","true_ma_tau2","true_pi_lower","true_pi_upper","true_pi_width","tf_effect","tf_tau2","tf_k_imputed","tf_pi_lower","tf_pi_upper","tf_pi_width","pp_effect","pp_tau2","pp_method","pp_pi_lower","pp_pi_upper","pp_pi_width","naive_pi_covers_true","tf_pi_covers_true","pp_pi_covers_true","true_pi_covers_true","scenario_id","bias_strength_factor"
0.3,0.1,20,20,0,0.423113841955466,4.34042360879963e-06,0.328766209254262,0.51746147465667,0.188695265402409,0.423113841955466,4.34042360879963e-06,0.328766209254262,0.51746147465667,0.188695265402409,0.423113841955466,4.34042360879963e-06,0,0.328766209254262,0.51746147465667,0.188695265402409,0.0994733474972838,1.47460444235114e-06,"PET",-1.4142019874086,1.61314868240317,3.02735066981178,FALSE,FALSE,TRUE,FALSE,1,"none"
0.3,0.1,20,20,0,0.273388688887385,0,0.177834180006171,0.3689431977686,0.191109017762429,0.273388688887385,0,0.177834180006171,0.3689431977686,0.191109017762429,0.273388688887385,0,0,0.177834180006171,0.3689431977686,0.191109017762429,0.754832240870216,0,"PET",-1.26344502303653,2.77310950477696,4.0365545278135,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.295199806841118,0,0.202789278479771,0.387610335202465,0.184821056722694,0.295199806841118,0,0.202789278479771,0.387610335202465,0.184821056722694,0.20913579984278,0.0135993450267844,6,-0.0486167490764349,0.466888348761995,0.51550509783843,0.132737730264467,0,"PET",-1.53535825206122,1.80083371259015,3.33619196465137,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.325762842350226,0,0.229838616715216,0.421687067985236,0.19184845127002,0.325762842350226,0,0.229838616715216,0.421687067985236,0.19184845127002,0.325762842350226,0,0,0.229838616715216,0.421687067985236,0.19184845127002,0.11098602169992,0,"PET",-1.24025326958185,1.46222531298169,2.70247858256354,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.31564314885812,0.00750225037829009,0.105781906696651,0.525504391019588,0.419722484322936,0.31564314885812,0.00750225037829009,0.105781906696651,0.525504391019588,0.419722484322936,0.31564314885812,0.00750225037829009,0,0.105781906696651,0.525504391019588,0.419722484322936,1.04547927961044,0.00692675433240937,"PET",-0.536592708910259,2.62755126813114,3.16414397704139,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.356652757583083,0.00790074170812996,0.14240389018906,0.570901624977107,0.428497734788047,0.356652757583083,0.00790074170812996,0.14240389018906,0.570901624977107,0.428497734788047,0.356652757583083,0.00790074170812996,0,0.14240389018906,0.570901624977107,0.428497734788047,0.694680268248268,0.0103804816230613,"PET",-1.29160353074052,2.68096406723706,3.97256759797758,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.339265257177257,0.0281436042679382,-0.0342116397221591,0.712742154076672,0.746953793798831,0.339265257177257,0.0281436042679382,-0.0342116397221591,0.712742154076672,0.746953793798831,0.441033762593243,0.0613358199882195,5,-0.0881826707146903,0.970250195901176,1.05843286661587,0.431251804023667,0.0316925486649144,"PET",-1.17123129370265,2.03373490174998,3.20496619545263,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.323645537414031,0,0.22869166608979,0.418599408738273,0.189907742648483,0.323645537414031,0,0.22869166608979,0.418599408738273,0.189907742648483,0.323645537414031,0,0,0.22869166608979,0.418599408738273,0.189907742648483,0.662378124123116,0,"PET",-1.02044729738005,2.34520354562628,3.36565084300632,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.344409692295709,0.0375606204782642,-0.083646306579164,0.772465691170581,0.856111997749745,0.344409692295709,0.0375606204782642,-0.083646306579164,0.772465691170581,0.856111997749745,0.344409692295709,0.0375606204782642,0,-0.083646306579164,0.772465691170581,0.856111997749745,1.33463597407452,0.0247975230371335,"PEESE",0.280886824331198,2.38838512381784,2.10749829948664,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.254352076404537,0.044265593016827,-0.20844330935397,0.717147462163044,0.925590771517014,0.254352076404537,0.044265593016827,-0.20844330935397,0.717147462163044,0.925590771517014,0.275519160598251,0.0492418802364662,1,-0.208758866367569,0.759797187564072,0.96855605393164,0.546889619970966,0.0484302650532634,"PET",-1.86140266299873,2.95518190294067,4.8165845659394,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.231090093324445,0.0487116029961708,-0.254076816144034,0.716257002792924,0.970333818936957,0.231090093324445,0.0487116029961708,-0.254076816144034,0.716257002792924,0.970333818936957,0.231090093324445,0.0487116029961708,0,-0.254076816144034,0.716257002792924,0.970333818936957,0.246753752234112,0.0536241844752255,"PET",-2.04726422268184,2.54077172715007,4.58803594983191,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.214902012816849,0.0220620737196586,-0.118276986861747,0.548081012495445,0.666357999357192,0.214902012816849,0.0220620737196586,-0.118276986861747,0.548081012495445,0.666357999357192,0.214902012816849,0.0220620737196586,0,-0.118276986861747,0.548081012495445,0.666357999357192,-1.12621552688731,0.0195910996805725,"PET",-3.32552496442121,1.07309391064658,4.3986188750678,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.339483520272275,0.0016671773458279,0.209118236647485,0.469848803897064,0.260730567249578,0.339483520272275,0.0016671773458279,0.209118236647485,0.469848803897064,0.260730567249578,0.258355967380962,0.0221195576239278,5,-0.0667150280925393,0.583426962854464,0.650141990947003,-0.437534970516027,0.00212142344202877,"PET",-2.23261541741235,1.3575454763803,3.59016089379265,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.34190667568148,0.00919927431286693,0.11360735475387,0.570205996609089,0.456598641855219,0.34190667568148,0.00919927431286693,0.11360735475387,0.570205996609089,0.456598641855219,0.34190667568148,0.00919927431286693,0,0.11360735475387,0.570205996609089,0.456598641855219,1.05277265113306,0.0110126495904509,"PET",-1.13626272840003,3.24180803066616,4.3780707590662,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.154899033707809,0.014380235117985,-0.119667616881362,0.429465684296979,0.549133301178341,0.154899033707809,0.014380235117985,-0.119667616881362,0.429465684296979,0.549133301178341,0.154899033707809,0.014380235117985,0,-0.119667616881362,0.429465684296979,0.549133301178341,-1.234059927123,0.0082573178722555,"PET",-2.79954234670827,0.331422492462276,3.13096483917055,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.223558528063306,0.0149777982686601,-0.055787854704676,0.502904910831288,0.558692765535964,0.223558528063306,0.0149777982686601,-0.055787854704676,0.502904910831288,0.558692765535964,0.192907297588777,0.0200079857919123,2,-0.121400459057911,0.507215054235466,0.628615513293378,-0.520554607420996,0.0161660355220062,"PET",-2.3311979304869,1.29008871564491,3.62128664613181,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.353673010500602,0.0335940893528362,-0.0523433865582378,0.759689407559441,0.812032794117679,0.353673010500602,0.0335940893528362,-0.0523433865582378,0.759689407559441,0.812032794117679,0.372428725039534,0.0378056369677384,1,-0.0545067046257455,0.799364154704813,0.853870859330559,0.987471824740181,0.0363656371896797,"PET",-1.04281745740164,3.017761106882,4.06057856428364,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.362588151055648,0.0244078907608548,0.0126830425196721,0.712493259591624,0.699810217071952,0.362588151055648,0.0244078907608548,0.0126830425196721,0.712493259591624,0.699810217071952,0.421037317413961,0.0407508079706738,3,-0.0170322070868546,0.859106841914777,0.876139049001632,1.39137731592197,0.0108764460693112,"PEESE",0.468433104962877,2.31432152688106,1.84588842191818,TRUE,TRUE,FALSE,TRUE,1,"none"
0.3,0.1,20,20,0,0.260817243823401,0,0.167261027874148,0.354373459772653,0.187112431898505,0.260817243823401,0,0.167261027874148,0.354373459772653,0.187112431898505,0.260817243823401,0,0,0.167261027874148,0.354373459772653,0.187112431898505,-0.166499743851002,0,"PET",-1.85529759031628,1.52229810261427,3.37759569293055,TRUE,TRUE,TRUE,TRUE,1,"none"
